id;descricao;status;numero_quadro;numero_bike_registrada
1;../fake-data/blob/hipster.txt;ENCONTRADA;Switchable;synergistic
2;../fake-data/blob/hipster.txt;PERDIDA;Toquelau withdrawal;Miquelão compelling Implementation
3;../fake-data/blob/hipster.txt;ENCONTRADA;Sabonete;Brinquedos hack Savings
4;../fake-data/blob/hipster.txt;RECUPERADA;Grosso Dirham invoice;Marginal
5;../fake-data/blob/hipster.txt;ENCONTRADA;Peso Up-sized;Versatile
6;../fake-data/blob/hipster.txt;ENCONTRADA;preto Afghani;Buckinghamshire Home Luvas
7;../fake-data/blob/hipster.txt;ENCONTRADA;collaborative deposit;Fresco Supervisor adapter
8;../fake-data/blob/hipster.txt;ENCONTRADA;escarlate;models synthesize Usability
9;../fake-data/blob/hipster.txt;ENCONTRADA;withdrawal Organized Consultant;up Programmable Group
10;../fake-data/blob/hipster.txt;ENCONTRADA;Facilitator;Investment
